"","P","SE.x","equation","percent_change"
"1","MN","0.0012","=56.23*e(0.0021N)","0.21%"
"2","NY","0.0012","=241.90*e(0.0010N)","0.10%"
"3","KS","0.0014","=113.83*e(-0.0005N)","-0.05%"
"4","WI","0.0012","=307.25*e(0.0065N)","0.65%"
