"","CROP","SE.x","equation","percent_change"
"1","inter","0.0007","=2452.86*e(-0.0003N)","-0.03%"
"2","monoI","0.0007","=559.76*e(0.0011N)","0.11%"
"3","monoA","0.0007","=1722.57*e(-0.0004N)","-0.04%"
