"","P","SE.x","equation","percent_change"
"1","MN","0.0043","=36.50*e(0.0133N)","1.34%"
"2","NY","0.0042","=32.90*e(-0.0002N)","-0.02%"
"3","KS","0.0042","=43.90*e(-0.0014N)","-0.14%"
"4","WI","0.0041","=49.18*e(0.0040N)","0.40%"
