Plot,Trt #,Rep,Type,DM,CP,ADF,aNDF,Ash,FAT,Lignin,dNDF30,IVTDMD30,dNDF48,IVTDMD48,Ca,P,K,Mg,ESC,WSC,Starch
1306,5,,IWG,96.1,5,49.3,75.8,5.7,1.9,6,21.6,41.9,36.8,60.4,0.2,0.2,1.4,0.1,3.1,5.1,1.2
1307,17,,IWG,95.7,5.7,47.7,73.1,5.2,1.8,6.1,20.8,42.8,34.2,61.8,0.2,0.2,1.5,0.1,4.1,5.9,1.8
1308,10,,IWG,95.7,8.1,45.8,69.7,5.6,2,6.6,16.3,42.2,31.3,63,0.3,0.2,1.6,0.1,4.6,6.1,1.5
1309,,,,,,,,,,,,,,,,,,,,,
1310,,,,,,,,,,,,,,,,,,,,,
1311,,,,,,,,,,,,,,,,,,,,,
1312,3,,IWG,95.4,5.4,47.1,71.1,7,1.9,5.5,20,43,35.4,64.6,0.2,0.2,1.6,0.1,4.3,6.2,1.6
1313,,,,,,,,,,,,,,,,,,,,,
1314,,,,,,,,,,,,,,,,,,,,,
1315,16,,IWG,94.7,8,44.5,69.4,8.3,2.5,5.1,21.2,45.6,36.6,67.2,0.3,0.2,1.8,0.2,3.2,5.1,0.7
1316,20,,IWG,94.7,5.6,44.4,70,3.7,1.8,5.7,15.9,39.6,32.4,64.7,0.2,0.2,1.2,0.1,6.5,7.7,2.1
1317,1,,IWG,94.8,6.5,43.3,68.9,7.5,2.4,5.5,19.2,45.8,33.4,64.8,0.3,0.2,1.5,0.1,4.2,6.2,1.4
1318,7,,IWG,95.1,8.2,45.2,70,6.4,2,5.8,20.4,44.6,33.9,65.4,0.3,0.2,1.8,0.1,4.2,6,1
1319,21,,IWG,95.3,5.1,48.5,75,6.3,1.7,5.9,20.2,40.3,35,60,0.2,0.2,1.3,0.1,3,5.3,0.7
1320,24,,IWG,95.9,4.4,47.4,73.3,6.3,1.8,5.9,18.4,39.8,34.4,59.9,0.2,0.2,1.2,0.1,4.1,6.4,1.7
1321,,,,,,,,,,,,,,,,,,,,,
1322,,,,,,,,,,,,,,,,,,,,,
1323,2,,IWG,95,4.7,46.7,72.3,3.7,1.6,5.7,20.6,43.3,33.8,62.1,0.2,0.2,1.3,0.1,6.3,8,1.6
1324,,,,,,,,,,,,,,,,,,,,,
1401,16,,IWG,95,7.1,45.9,72.1,6,1.9,5.3,20.1,41.2,36.2,64.5,0.2,0.2,1.6,0.1,3.9,5.8,1.4
1402,4,,IWG,94.7,5.1,47.1,72.8,6.8,2.2,5.5,19.3,40.1,36.2,62.2,0.2,0.2,1.3,0.1,3,5.1,1.7
1403,8,,IWG,95.8,5.4,47.9,72.8,6.6,1.8,5.6,20.4,41.3,36.1,62.6,0.2,0.2,1.5,0.1,3.7,6,1
1404,24,,IWG,95.1,4.8,46.2,73,6.1,2.2,5.7,17,37.1,34.4,61.5,0.2,0.2,1.2,0.1,4.1,5.6,1.7
1405,9,,IWG,96,4.9,48.1,74.1,4.5,1.7,6.3,18.9,40.6,33.6,60.5,0.2,0.2,1.5,0.1,5.2,6.8,1
1406,6,,IWG,94.7,5.7,45.2,70.8,6,1.9,5.5,19.4,42.5,34.7,65.2,0.2,0.2,1.5,0.1,5,6.5,1.5
1407,,,,,,,,,,,,,,,,,,,,,
1408,,,,,,,,,,,,,,,,,,,,,
1409,21,,IWG,95,4.7,47,72,4.9,1.7,5.8,20.1,42.5,34.4,63.6,0.2,0.2,1.4,0.1,5.3,7,1.5
1410,,,,,,,,,,,,,,,,,,,,,
1411,,,,,,,,,,,,,,,,,,,,,
1412,17,,IWG,94.7,6.5,46.6,70.3,8,2.1,5.7,20.1,42.7,34.4,64,0.3,0.2,1.6,0.1,3.4,5.6,1.3
1413,3,,IWG,95.4,3.2,47.4,74.7,5,1.6,5.8,19.8,40.3,35.1,60.3,0.1,0.2,1.2,0.1,5.3,6.9,1.7
1414,7,,IWG,95,6.1,47.6,72.9,6.7,1.8,6,19.7,41.4,34.3,62.4,0.2,0.2,1.6,0.1,3.5,5.5,1
1415,20,,IWG,94.9,5.3,47.4,72.9,6.7,2.1,5.7,18.8,40,36.1,63.2,0.2,0.2,1.5,0.1,3.1,4.9,1.2
1416,10,,IWG,94.9,9.8,43.7,67.2,9.2,2.5,5.5,20.9,48,34.3,67.2,0.3,0.2,1.9,0.2,3.7,6,0.5
1417,,,,,,,,,,,,,,,,,,,,,
1418,,,,,,,,,,,,,,,,,,,,,
1419,2,,IWG,95.9,5.9,48.8,75.1,5.2,1.9,6.1,19.4,39,35.4,60,0.2,0.2,1.4,0.1,3.6,5.4,1
1420,,,,,,,,,,,,,,,,,,,,,
1421,1,,IWG,94.9,4.9,46,72,5.5,1.9,5.5,19,40.4,35.2,63.2,0.2,0.2,1.3,0.1,4.7,6.3,2
1422,,,,,,,,,,,,,,,,,,,,,
1423,5,,IWG,95.1,5.1,47.1,72.1,6.6,2,6,18.8,41.5,33.5,61.3,0.2,0.2,1.4,0.1,4.4,6.4,1.2
1424,,,,,,,,,,,,,,,,,,,,,
