"","P","SE.x","equation","percent_change"
"1","MN","0.0006","=3922.15*e(0.0018N)","0.18%"
"2","NY","0.0006","=2688.03*e(0.0049N)","0.49%"
"3","KS","0.0007","=2145.60*e(0.0008N)","0.08%"
"4","WI","0.0006","=3315.20*e(0.0042N)","0.42%"
