"","P","CROP","SE.x","equation","percent_change"
"1","MN","inter","0.0047","=8.45*e(0.0003N)","-99.97%"
"2","MN","monoI","0.0047","=8.42*e(0.0020N)","-99.80%"
"3","MN","monoA","0.0047","=7.01*e(-0.0060N)","-100.60%"
"4","NY","inter","0.0047","=8.59*e(0.0015N)","-99.85%"
"5","NY","monoI","0.0047","=8.04*e(0.0045N)","-99.55%"
"6","NY","monoA","0.0047","=8.27*e(-0.0006N)","-100.06%"
"7","WI","inter","0.0047","=8.62*e(0.0010N)","-99.90%"
"8","WI","monoI","0.0047","=8.24*e(0.0044N)","-99.56%"
"9","WI","monoA","0.0047","=8.29*e(0.0007N)","-99.93%"
