"","P","SE.x","equation","percent_change"
"1","MN","2.7504","=2382.74+(7.4345N)","0.31%"
"2","NY","2.7312","=686.63+(1.4632N)","0.21%"
"3","WI","2.9466","=7144.09+(17.2438N)","0.24%"
