"","P","SE.x","equation","percent_change"
"1","MN","0.0011","=651.94*e(0.0020N)","0.20%"
"2","NY","0.0012","=263.84*e(0.0044N)","0.44%"
"3","WI","0.0012","=283.04*e(-0.0010N)","-0.10%"
