"","P","SE.x","equation","percent_change"
"1","MN","0.0006","=1737.51*e(0.0027N)","0.27%"
"2","NY","0.0006","=2695.81*e(0.0050N)","0.50%"
"3","KS","0.0007","=7358.19*e(0.0007N)","0.07%"
"4","WI","0.0006","=6843.18*e(0.0009N)","0.09%"
