"","P","SE.x","equation","percent_change"
"1","MN","0.0013","=832.34*e(0.0026N)","0.26%"
"2","NY","0.0013","=550.29*e(0.0016N)","0.16%"
"3","WI","0.0013","=392.53*e(0.0030N)","0.30%"
