"","P","SE.x","equation","percent_change"
"1","MN","0.9371","=634.91+(0.7040N)","0.11%"
"2","NY","0.8804","=1166.68+(0.7056N)","0.06%"
"3","WI","0.8804","=805.53+(0.4201N)","0.05%"
