"","P","SE.x","equation","percent_change"
"1","MN","0.0010","=179.38*e(0.0021N)","0.21%"
"2","NY","0.0011","=408.24*e(0.0047N)","0.47%"
"3","KS","0.0012","=407.18*e(-0.0002N)","-0.02%"
"4","WI","0.0011","=736.77*e(-0.0001N)","-0.01%"
